train_loss,epoch,step
7.156368255615234,0,0
6.961010932922363,0,1
5.894479751586914,0,2
4.457707405090332,0,3
1.986362338066101,0,4
5.5935564041137695,0,5
5.407133102416992,0,6
3.29274320602417,0,7
1.8650282621383667,0,8
1.1952643394470215,0,9
2.345691680908203,1,10
2.499467372894287,1,11
1.2700889110565186,1,12
0.7728115320205688,1,13
0.45104703307151794,1,14
1.1876065731048584,1,15
2.0718066692352295,1,16
1.9072275161743164,1,17
1.2765296697616577,1,18
1.5476646423339844,1,19
0.48827770352363586,2,20
0.723392128944397,2,21
0.7097318172454834,2,22
1.0687510967254639,2,23
0.6227239966392517,2,24
0.44924089312553406,2,25
0.4511747360229492,2,26
0.5566045045852661,2,27
0.7262320518493652,2,28
0.4811977744102478,2,29
0.9380908012390137,3,30
0.7538471817970276,3,31
1.074481725692749,3,32
0.44484707713127136,3,33
0.5633279085159302,3,34
0.5410728454589844,3,35
0.49822455644607544,3,36
1.0524286031723022,3,37
0.37179243564605713,3,38
0.34587201476097107,3,39
0.17333757877349854,4,40
0.25468525290489197,4,41
0.3125792145729065,4,42
