valid_loss,val_acc,epoch,step,train_loss,train_acc
0.6801547408103943,0.5080214142799377,0,7,,
,,0,7,0.6954480409622192,0.52774977684021
0.6748346090316772,0.5668449401855469,1,15,,
,,1,15,0.6800304055213928,0.5782038569450378
0.6749438643455505,0.5989304780960083,2,23,,
,,2,23,0.6500557065010071,0.6367305517196655
0.6702407598495483,0.6417112350463867,3,31,,
,,3,31,0.6275736093521118,0.693239152431488
0.6628537774085999,0.6524063944816589,4,39,,
,,4,39,0.6128435134887695,0.7305752038955688
0.6559892296791077,0.6737967729568481,5,47,,
,,5,47,0.5948362946510315,0.7558022141456604
0.6535497903823853,0.6310160160064697,6,55,,
,,6,55,0.5761045813560486,0.7749747633934021
0.6483157277107239,0.6203208565711975,7,63,,
,,7,63,0.5559777617454529,0.7941473126411438
0.6451106071472168,0.625668466091156,8,71,,
,,8,71,0.5288188457489014,0.801210880279541
